EC_protein,EC_accession,SE_protein,SE_accession
DUF2517 domain-containing protein YbfA,b0699,putative periplasmic protein,STM1897
DUF2526 domain-containing protein YdcY,b1446,putative cytoplasmic protein,STM0383
DUF2527 domain-containing protein YobF,b1824,DUF2627 domain-containing protein,STM1838
DUF2534 domain-containing protein YnaJ,b1332,putative inner membrane protein,STM1849
DUF2541 domain-containing protein YaaI,b0013,hypothetical protein,STM0387
DUF2542 domain-containing protein YeiS,b2145,,
DUF2544 domain-containing protein YfcO,b2332,,
DUF2545 domain-containing protein YfdY,b2377,,
DUF2554 domain-containing protein YncJ,b1436,putative periplasmic protein,STM1897
DUF2556 domain-containing protein YhdU,b3263,DUF2556 domain-containing protein,STM3387
DUF2559 domain-containing protein YhfG,b3362,DUF2559 domain-containing protein,STM3471
DUF2569 domain-containing inner membrane protein YdgK,b1626,putative inner membrane protein,STM1849
DUF2574 domain-containing protein YehE,b2112,putative outer membrane protein,PSLT015
DUF2575 domain-containing protein YaaY,b0024,putative cytoplasmic protein,STM0383
DUF2594 domain-containing protein YecF,b1915,putative cytoplasmic protein,STM0383
DUF2623 domain-containing protein YghW,b2998,putative cytoplasmic protein,STM0383
DUF2628 domain-containing protein YigF,b3817,Uncharacterized protein,STM1586
DUF2645 domain-containing inner membrane protein YjeO,b4158,putative inner membrane protein,STM1849
DUF2684 domain-containing protein YqgD,b2941,putative inner membrane protein,STM1849
DUF2754 domain-containing protein YaiZ,b0380,putative inner membrane protein,STM1849
DUF2755 domain-containing inner membrane protein YaiY,b0379,putative inner membrane protein,STM1849
DUF2756 domain-containing protein YhhA,b3448,putative outer membrane protein,PSLT015
DUF2770 domain-containing protein YceO,b1058,DUF2770 domain-containing protein,STM1159
DUF2810 domain-containing protein YibL,b3602,putative cytoplasmic protein,STM0383
DUF2813 domain-containing protein YbjD,b0876,ATP-dependent endonuclease,STM0939
DUF2877 domain-containing protein YlbF,b0520,carboxylase,STM0531
DUF2884 domain-containing protein YggN,b2958,putative periplasmic protein,STM1897
DUF3029 domain-containing protein YjjI,b4380,YjjI family glycine radical enzyme,STM4566
DUF3053 domain-containing protein YiaF,b3554,putative outer membrane lipoprotein,STM4223
DUF3300 domain-containing protein YacH,b0117,putative outer membrane protein,PSLT015
DUF3313 domain-containing lipoprotein YdcL,b1431,,
DUF333 domain-containing lipoprotein YoaF,b1793,,
DUF333 domain-containing protein YdbJ,b4529,,
DUF3461 domain-containing protein YaeH,b0163,hypothetical protein,STM0387
DUF350 domain-containing inner membrane protein YjfL,b4184,putative inner membrane protein,STM1849
DUF3561 domain-containing inner membrane protein YgbE,b2749,putative inner membrane protein,STM1849
DUF3748 domain-containing galacturonate catabolism protein YidR,b3689,putative cytoplasmic protein,STM0383
DUF3811 domain-containing protein YjbD,b4023,putative cytoplasmic protein,STM0383
DUF3828 domain-containing lipoprotein YbjP,b0865,putative lipoprotein,STM2983
DUF3829 domain-containing lipoprotein YiiG,b3896,putative cytoplasmic protein,STM0383
DUF386 domain-containing protein YiaL,b3576,putative cytoplasmic protein,STM0383
DUF386 domain-containing toxin-antitoxin biofilm protein TabA,b4252,toxin-antitoxin biofilm protein,STM4468
DUF406 domain-containing protein YfcZ,b2343,putative cytoplasmic protein,STM0383
DUF4154 domain-containing protein YfiR,b2603,putative periplasmic protein,STM1897
DUF4156 domain-containing lipoprotein YjeI,b4144,putative outer membrane lipoprotein,STM4223
DUF416 domain-containing protein YjaG,b3999,Uncharacterized protein,STM1586
DUF417 domain-containing inner membrane protein RclC,b0301,,
DUF418 domain-containing protein YeiB,b2152,putative inner membrane protein,STM1849
DUF4186 domain-containing protein YneG,b1523,DUF4186 domain-containing protein,STM1526
DUF421 domain-containing protein YcaP,b0906,putative inner membrane protein,STM1849
DUF4223 domain-containing lipoprotein YhfL,b3369,DUF4223 domain-containing protein,STM3480
DUF423 domain-containing inner membrane protein YgdD,b2807,putative small membrane protein,STM2981
DUF440 domain-containing protein YciU,b1248,dsDNA-mimic protein,STM1740
DUF441 domain-containing inner membrane protein YeaL,b1789,hypothetical protein,STM0387
DUF444 domain-containing protein YeaH,b1784,hypothetical protein,STM0387
DUF445 domain-containing protein YjiN,b4336,putative inner membrane protein,STM1849
DUF446 domain-containing protein YqcC,b2792,putative cytoplasmic protein,STM0383
DUF454 domain-containing inner membrane protein YbaN,b0468,putative phage gene 58,STM0482
DUF463 domain-containing protein YcjX,b1321,putative ATPase,STM1685
DUF480 domain-containing protein YceH,b1067,DUF480 domain-containing protein,STM1168
DUF484 domain-containing protein YigA,b3810,DUF484 family protein,STM3948
DUF485 domain-containing inner membrane protein YjcH,b4068,putative inner membrane protein,STM1849
DUF488 domain-containing protein YeaO,b1792,MarR family transcriptional regulator,STM1547
DUF493 domain-containing protein YbeD,b0631,hypothetical protein,STM0387
DUF494 domain-containing protein Smg,b3284,Protein,STM3404
DUF525 domain-containing protein ApaG,b0050,Co2+/Mg2+ efflux protein,STM0089
DUF5329 domain-containing protein YfeK,b2419,putative periplasmic protein,STM1897
DUF533 domain-containing inner membrane protein YebE,b1846,putative inner membrane protein,STM1849
DUF535 domain-containing protein YbjX,b0877,homolog of virK,STM0940
DUF541 domain-containing protein YggE,b2922,oxidative stress defense protein,STM3065
DUF554 domain-containing protein YqgA,b2966,putative inner membrane protein,STM1849
DUF697 domain-containing inner membrane protein YcjF,b1322,TIGR01620 family protein,STM1684
DUF72 domain-containing protein YecE,b1868,putative cytoplasmic protein,STM0383
DUF805 domain-containing protein YiiR,b3921,putative inner membrane protein,STM1849
DUF808 domain-containing inner membrane protein YedI,b1958,putative inner membrane protein,STM1849
DUF883 domain-containing protein YgaM,b2672,putative inner membrane protein,STM1849
DUF892 domain-containing protein YciE,b1257,putative cytoplasmic protein,STM0383
DUF892 domain-containing protein YciF,b1258,putative cytoplasmic protein,STM0383
DUF903 domain-containing lipoprotein YgdI,b2809,putative lipoprotein,STM2983
DUF903 domain-containing lipoprotein YgdR,b2833,putative POT family peptide transport protein,STM3007
DUF945 domain-containing protein YdgA,b1614,putative periplasmic protein,STM1897
DUF986 domain-containing inner membrane protein YobD,b1820,UPF0266 membrane protein,STM1833
DUF997 domain-containing protein YhdT,b3257,putative inner membrane protein,STM1849
dUTP diphosphatase,b3640,deoxyuridinetriphosphatase,STM3731
dynamic cytoskeletal protein MreB,b3251,rod shape-determining protein,STM3372
e14 prophage; protein StfP,b1154,,
e14 prophage; putative integrase,b1140,,
e14 prophage; site-specific DNA recombinase,b1158,,
EF-P-Lys34 hydroxylase,b2326,elongation factor P hydroxylase,STM2381
EF-P-lysine lysyltransferase,b4155,elongation factor P lysine(34) lysyltransferase,STM4344
efflux pump MdtG,b1053,multidrug resistance protein,STM1425
efflux pump MdtL,b3710,multidrug transporter subunit,STM1482
elongation factor G,b3340,translation elongation factor G,STM3446
elongation factor P-like protein YeiP,b2171,putative elongation factor,STM2211
"enamine/imine deaminase, redox-regulated chaperone",b4243,2-iminobutanoate/2-iminopropanoate deaminase monomer,STM4458
"endo-1,4-D-glucanase",b3531,"endo-1,4-D-glucanase",STM3617
endolytic murein transglycosylase,b1097,cell division protein,STM0994
endonuclease III,b1633,DNA glycosylase/apyrimidinic (AP) lyase,STM1453
endonuclease IV,b2159,deoxyribonuclease IV,STM2203
endonuclease V,b3998,endonuclease V,STM4168
endonuclease VIII,b0714,endonuclease VIII,STM0728
endonuclease/exonuclease/phosphatase domain-containing protein YafD,b0209,putative cytoplasmic protein,STM0383
endonuclease/exonuclease/phosphatase domain-containing protein YbhP,b0790,putative cytoplasmic protein,STM0383
endoribonuclease YbeY,b0659,rRNA maturation RNase,STM0668
energy-dependent translational throttle protein EttA,b4391,energy-dependent translational throttle protein,STM4581
enolase,b2779,phosphopyruvate hydratase,STM2952
enoyl-[acyl-carrier-protein] reductase,b1288,enoyl-[acyl-carrier-protein] reductase,STM1700
"entericidin A lipoprotein, antidote to entericidin B",b4410,putative entericidin A precursor,STM4335
enterobacterial common antigen polymerase,b3793,4-alpha-L-fucosyltransferase,STM3927
enterobacterial common antigen polysaccharide co-polymerase,b3785,polysaccharide chain length modulation protein,STM3919
enterobactin biosynthesis protein YbdZ,b4511,MbtH family protein,STM0587
enterobactin exporter EntS,b0591,enterobactin exporter,STM0593
enterobactin synthase component B,b0595,enterobactin synthase component B,
envelope biogenesis factor,b0920,putative KicA protein,STM0990
Enzyme IIA<sup>Glc</sup>,b2417,,
epimerase family protein YfcH,b2304,TIGR01777 family protein,STM2350
epoxyqueuosine reductase,b4166,putative Fe-S protein,STM4355
erythronate-4-phosphate dehydrogenase,b2320,4-phosphoerythronate dehydrogenase,STM2370
esterase,b0686,alpha/beta hydrolase,STM0696
esterase YqiA,b3031,esterase,STM4380
esterase/thioesterase,b0736,tol-pal system-associated acyl-CoA thioesterase,STM0744
ethanol dehydrogenase / alcohol dehydrogenase,b1478,alcohol dehydrogenase,STM1567
ethanolamine ammonia-lyase reactivase EutA,b2451,ethanolamine utilization protein,STM2460
ethanolamine ammonia-lyase subunit &alpha;,b2441,ethanolamine ammonia-lyase large subunit,STM2458
ethanolamine ammonia-lyase subunit &beta;,b2440,ethanolamine ammonia-lyase small subunit,STM2457
excinuclease Cho,b1741,,
exodeoxyribonuclease I,b2011,exodeoxyribonuclease I,STM2067
exodeoxyribonuclease III,b1749,exodeoxyribonuclease III,STM1302
exodeoxyribonuclease V subunit RecB,b2820,exodeoxyribonuclease V subunit beta,STM2994
exodeoxyribonuclease V subunit RecC,b2822,exodeoxyribonuclease V subunit gamma,STM2996
exodeoxyribonuclease V subunit RecD,b2819,exodeoxyribonuclease V subunit alpha,STM2993
exodeoxyribonuclease VII subunit XseA,b2509,exodeoxyribonuclease VII large subunit,STM2512
exodeoxyribonuclease VII subunit XseB,b0422,exodeoxyribonuclease VII small subunit,STM0424
exonuclease X,b1844,exodeoxyribonuclease X,STM1878
exopolyphosphatase,b2502,exopolyphosphatase,STM2502
F<sup>-</sup> channel,b0624,fluoride ion transporter,STM0630
FAD assembly factor,b2897,FAD assembly factor,STM3047
FAD:protein FMN transferase,b2214,FAD:protein FMN transferase,STM2266
Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD,b2729,putative hydrogenase expression/formation protein,STM2858
Fe-S cluster scaffold complex subunit SufB,b1683,Fe-S cluster assembly protein,STM1370
Fe-S cluster scaffold complex subunit SufC,b1682,Fe-S cluster assembly ATPase,STM1371
Fe-S cluster scaffold complex subunit SufD,b1681,FeS cluster assembly protein,STM1372
Fe<sup>2+</sup> transporter FeoB,b3409,ferrous iron transporter B,STM3506
fermentation-respiration switch protein,b0239,fermentation/respiration switch protein,STM0318
ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,b2236,2Fe-2S ferredoxin,STM2279
ferredoxin-like protein YdiT,b1700,ferredoxin family protein,STM1351
ferredoxin-type protein,b2208,ferredoxin-type protein,STM2258
ferredoxin-type protein NapG,b2205,ferredoxin-type protein,STM2258
ferredoxin-type protein NapH,b2204,quinol dehydrogenase ferredoxin subunit,STM2257
ferric coprogen/ferric rhodotorulic acid outer membrane transporter,b1102,ferric-rhodotorulic acid/ferric-coprogen receptor,STM1204
ferric enterobactin ABC transporter ATP binding subunit,b0588,,
ferric enterobactin ABC transporter membrane subunit FebD,b0590,iron-enterobactin transporter,STM0592
ferric enterobactin ABC transporter membrane subunit FepG,b0589,,
ferric enterobactin ABC transporter periplasmic binding protein,b0592,,
ferric enterobactin esterase,b0585,enterochelin esterase,STM0586
ferric enterobactin outer membrane transporter,b0584,outer membrane receptor protein,STM0585
ferric-siderophore reductase FhuF,b4367,siderophore-iron reductase,STM4550
ferrichrome outer membrane transporter/phage receptor,b0150,ferrichrome porin,STM0191
ferritin iron storage protein,b1905,ferritin,STM1935
ferrochelatase,b0475,ferrochelatase,STM0489
ferrous iron transport protein A,b3408,ferrous iron transporter A,STM3505
ferrous iron transport protein FeoC,b3410,ferrous iron transporter C,STM3507
FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD,b3349,peptidylprolyl isomerase,STM3910
flagellar basal body P-ring formation protein FlgA,b1072,flagellar hook-filament junction protein,STM1184
flagellar basal-body MS-ring and collar protein,b1938,flagellar M-ring protein,STM1969
flagellar basal-body rod protein FlgB,b1073,flagellar basal body rod protein,STM1174
flagellar basal-body rod protein FlgC,b1074,flagellar basal body rod protein,STM1174
flagellar basal-body rod protein FlgF,b1077,flagellar biosynthesis protein,STM1181
flagellar basal-body rod protein FlgG,b1078,flagellar basal-body rod protein,STM1179
flagellar biosynthesis protein FlgN,b1070,flagellar biosynthesis protein,STM1181
flagellar biosynthesis protein FlhA,b1879,flagellar biosynthesis protein,STM1181
flagellar biosynthesis protein FlhB,b1880,flagellar biosynthesis protein,STM1181
flagellar biosynthesis protein FliH,b1940,flagellar assembly protein,STM1971
flagellar biosynthesis protein FliJ,b1942,flagellar biosynthesis chaperone,STM1973
flagellar biosynthesis protein FliO,b1947,flagellar biosynthesis protein,STM1181
flagellar biosynthesis protein FliP,b1948,flagellar biosynthetic protein,STM1981
flagellar biosynthesis protein FliQ,b1949,flagellar export apparatus protein,STM1980
flagellar biosynthesis protein FliR,b1950,flagellar biosynthetic protein,STM1981
flagellar biosynthesis protein FliS,b1925,flagellar export chaperone,STM1961
flagellar biosynthesis protein FliT,b1926,flagellar biosynthesis protein,STM1181
"flagellar biosynthesis, initiation of hook assembly",b1075,flagellar basal body rod modification protein,STM1176
flagellar brake protein YcgR,b1194,flagellar brake protein,STM1798
flagellar export ATPase FliI,b1941,flagellum-specific ATP synthase,STM1972
flagellar filament capping protein,b1924,flagellar filament-capping protein,STM1960
